,0
0,0.14546296000480652
1,0.145466148853302
2,0.1454695463180542
3,0.14547660946846008
4,0.1454695463180542
5,0.145466148853302
6,0.14546296000480652
7,0.14546191692352295
8,0.14545978605747223
9,0.14545923471450806
10,0.1454605758190155
11,0.14546164870262146
12,0.14546194672584534
13,0.14546220004558563
14,0.1454634815454483
15,0.1454652100801468
16,0.1454658955335617
17,0.1454668790102005
18,0.1454692929983139
19,0.14547164738178253
20,0.14547356963157654
21,0.14547574520111084
22,0.14547744393348694
23,0.14547893404960632
24,0.14548073709011078
25,0.14548248052597046
26,0.1454845368862152
27,0.14548631012439728
28,0.14548714458942413
29,0.14548836648464203
30,0.1454899162054062
31,0.14549176394939423
32,0.14549297094345093
33,0.14549455046653748
34,0.14549577236175537
35,0.14549612998962402
36,0.14549630880355835
37,0.14549671113491058
38,0.1454973816871643
39,0.14549820125102997
40,0.145500048995018
41,0.1455012708902359
42,0.14550279080867767
43,0.14550399780273438
44,0.14550524950027466
45,0.14550675451755524
46,0.14550833404064178
47,0.14551034569740295
48,0.14551249146461487
49,0.1455148607492447
50,0.14551711082458496
51,0.1455201953649521
52,0.14552299678325653
53,0.14552563428878784
54,0.14552824199199677
55,0.1455308496952057
56,0.14553342759609222
57,0.14553596079349518
58,0.14553895592689514
59,0.14554265141487122
60,0.145547017455101
61,0.14555159211158752
62,0.14555573463439941
63,0.1455601155757904
64,0.14556433260440826
65,0.14556917548179626
66,0.14557376503944397
67,0.14557816088199615
68,0.1455826312303543
69,0.14558716118335724
70,0.1455918699502945
71,0.14559637010097504
72,0.14560121297836304
73,0.1456056833267212
74,0.1456102877855301
75,0.14561478793621063
76,0.14561983942985535
77,0.14562587440013885
78,0.14563173055648804
79,0.14563724398612976
80,0.1456426978111267
81,0.14564715325832367
82,0.14565087854862213
83,0.14565417170524597
84,0.14565739035606384
85,0.14566020667552948
86,0.14566250145435333
87,0.1456649750471115
88,0.14566735923290253
89,0.14566998183727264
90,0.1456720381975174
91,0.14567415416240692
92,0.145676389336586
93,0.1456788033246994
94,0.14568112790584564
95,0.14568336308002472
96,0.14568601548671722
97,0.14568839967250824
98,0.14569061994552612
99,0.14569346606731415
100,0.14569608867168427
101,0.14569903910160065
102,0.1457023322582245
103,0.1457062065601349
104,0.14571009576320648
105,0.14571385085582733
106,0.1457185000181198
107,0.14572331309318542
108,0.14572849869728088
109,0.14573346078395844
110,0.14573867619037628
111,0.14574411511421204
112,0.14574962854385376
113,0.145755797624588
114,0.14576227962970734
115,0.14576920866966248
116,0.145776629447937
117,0.14578355848789215
118,0.14579099416732788
119,0.14579837024211884
120,0.1458054482936859
121,0.14581270515918732
122,0.14581984281539917
123,0.14582696557044983
124,0.1458345502614975
125,0.14584232866764069
126,0.14585034549236298
127,0.1458570957183838
128,0.1458626687526703
129,0.14586688578128815
130,0.14587029814720154
131,0.14587335288524628
132,0.14587648212909698
133,0.1458798050880432
134,0.145883709192276
135,0.14588743448257446
136,0.1458909660577774
137,0.14589476585388184
138,0.1458989381790161
139,0.14590269327163696
140,0.14590655267238617
141,0.14591097831726074
142,0.14591540396213531
143,0.14591987431049347
144,0.14592422544956207
145,0.1459290087223053
146,0.14593344926834106
147,0.14593791961669922
148,0.14594224095344543
149,0.14594689011573792
150,0.14595158398151398
151,0.14595629274845123
152,0.14596064388751984
153,0.1459653377532959
154,0.14597031474113464
155,0.1459757387638092
156,0.14598093926906586
157,0.14598622918128967
158,0.1459922045469284
159,0.14599832892417908
160,0.14600509405136108
161,0.14601178467273712
162,0.14601819217205048
163,0.14602501690387726
164,0.14603228867053986
165,0.14603975415229797
166,0.14604707062244415
167,0.1460542380809784
168,0.14606165885925293
169,0.14606931805610657
170,0.14607703685760498
171,0.14608460664749146
172,0.14609205722808838
173,0.146099254488945
174,0.1461063176393509
175,0.14611373841762543
176,0.14612063765525818
177,0.14612719416618347
178,0.14613352715969086
179,0.1461392045021057
180,0.14614476263523102
181,0.14615020155906677
182,0.14615586400032043
183,0.14616192877292633
184,0.14616826176643372
185,0.146174818277359
186,0.1461813598871231
187,0.14618785679340363
188,0.14619429409503937
189,0.14620038866996765
190,0.14620620012283325
191,0.14621171355247498
192,0.14621707797050476
193,0.14622242748737335
194,0.14622776210308075
195,0.14623290300369263
196,0.14623810350894928
197,0.14624328911304474
198,0.1462487131357193
199,0.14625436067581177
200,0.14625997841358185
